name_translations,city_code,country_code,time_zone,code,iata_type,name,coordinates,flightable
{'en': 'Jimma Airport'},JIM,ET,Africa/Addis_Ababa,JIM,airport,Jimma Airport,"{'lat': 7.654444, 'lon': 36.82111}",True
{'en': 'Hanan Airport'},IUE,NU,Pacific/Niue,IUE,airport,Hanan Airport,"{'lat': -19.083332, 'lon': -169.93333}",True
{'en': 'Bermuda Dunes'},PSP,US,America/Los_Angeles,UDD,airport,Bermuda Dunes,"{'lat': 33.735832, 'lon': -116.26722}",False
{'en': 'Preston-Glenn Field'},LYH,US,America/New_York,LYH,airport,Preston-Glenn Field,"{'lat': 37.326942, 'lon': -79.20111}",True
{'en': 'Muko-Muko'},MPC,ID,Asia/Jakarta,MPC,airport,Muko-Muko,"{'lat': -2.55, 'lon': 101.1}",False
{'en': 'Balgo Hills'},BQW,AU,Australia/Perth,BQW,airport,Balgo Hills,"{'lat': -20.183332, 'lon': 127.8}",True
{'en': 'Prome'},PRU,MM,Asia/Rangoon,PRU,airport,Prome,"{'lat': 18.825, 'lon': 95.26861}",False
{'en': 'Puerto Paez'},PPZ,VE,America/Caracas,PPZ,airport,Puerto Paez,"{'lat': 6.226111, 'lon': -67.446945}",False
{'en': 'Milas-Bodrum Airport'},BJV,TR,Europe/Istanbul,BJV,airport,Milas-Bodrum Airport,"{'lat': 37.243954, 'lon': 27.672781}",True
{'en': 'Monument Valley'},MVM,US,America/Shiprock,MVM,airport,Monument Valley,"{'lat': 36.702778, 'lon': -110.23333}",False
{'en': 'Karratha Airport'},KTA,AU,Australia/Perth,KTA,airport,Karratha Airport,"{'lat': -20.70826, 'lon': 116.77006}",True
{'en': 'Serra Pelada'},RSG,BR,America/Belem,RSG,airport,Serra Pelada,"{'lat': -5.95, 'lon': -49.65}",False
{'en': 'Cherkassy'},CKC,UA,Europe/Kiev,CKC,airport,Cherkassy,"{'lat': 49.416668, 'lon': 32}",False
{'en': 'Juliaca Airport'},JUL,PE,America/Lima,JUL,airport,Juliaca Airport,"{'lat': -15.464167, 'lon': -70.15444}",True
{'en': 'Salzburg Hbf Railway Station'},SZG,AT,Europe/Vienna,ZSB,railway,Salzburg Hbf Railway Station,"{'lat': 47.80949, 'lon': 13.05501}",True
{'en': 'Juana Azurduy de Padilla International Airport'},SRE,BO,America/La_Paz,SRE,airport,Juana Azurduy de Padilla International Airport,"{'lat': -19.007778, 'lon': -65.30167}",True
{'en': 'Rochester'},RCS,GB,Europe/London,RCS,airport,Rochester,"{'lat': 51.35, 'lon': 0.5}",False
{'en': 'Kar Kar'},KRX,PG,Pacific/Port_Moresby,KRX,airport,Kar Kar,"{'lat': -4.5, 'lon': 145.96666}",False
{'en': 'Tanjung Selor'},TJS,ID,Asia/Makassar,TJS,airport,Tanjung Selor,"{'lat': 2.85, 'lon': 117.36667}",False
{'en': 'Candle'},CDL,US,America/Anchorage,CDL,airport,Candle,"{'lat': 65.90806, 'lon': -161.93834}",False
{'en': 'Telluride Bus Station'},TEX,US,America/Denver,ZTL,bus,Telluride Bus Station,"{'lat': 37.9374939, 'lon': -107.8122852}",False
{'en': 'Miyake Jima'},MYE,JP,Asia/Tokyo,MYE,airport,Miyake Jima,"{'lat': 34.069443, 'lon': 139.5625}",False
{'en': 'Ohio University'},ATO,US,America/New_York,ATO,airport,Ohio University,"{'lat': 39.333332, 'lon': -82.1}",False
{'en': 'Dalton Municipal'},DNN,US,America/New_York,DNN,airport,Dalton Municipal,"{'lat': 34.766666, 'lon': -84.96667}",False
{'en': 'Thief River Falls Regional Airport'},TVF,US,America/Chicago,TVF,airport,Thief River Falls Regional Airport,"{'lat': 48.066113, 'lon': -96.185}",True
{'en': 'Itacoatiara'},ITA,BR,America/Manaus,ITA,airport,Itacoatiara,"{'lat': -3.133333, 'lon': -58.416668}",False
{'en': 'FlightLink Bus Station'},MCN,US,America/New_York,QMP,bus,FlightLink Bus Station,"{'lat': 32.8406946, 'lon': -83.6324022}",False
{'en': 'Ormoc'},OMC,PH,Asia/Manila,OMC,airport,Ormoc,"{'lat': 11.05, 'lon': 124.566666}",False
{'en': 'Tauramena'},TAU,CO,America/Bogota,TAU,airport,Tauramena,"{'lat': 5, 'lon': -72.73333}",False
{'en': 'Mount Pleasant'},MPN,FK,Atlantic/Stanley,MPN,airport,Mount Pleasant,"{'lat': -51.816666, 'lon': -58.45}",True
{'en': 'Ailuk Island'},AIM,MH,Pacific/Majuro,AIM,airport,Ailuk Island,"{'lat': 10.2, 'lon': 169.98334}",False
{'en': 'Black Tickle'},YBI,CA,America/Goose_Bay,YBI,airport,Black Tickle,"{'lat': 53.45, 'lon': -55.733334}",False
{'en': 'Assiut Airport'},ATZ,EG,Africa/Cairo,ATZ,airport,Assiut Airport,"{'lat': 27.033333, 'lon': 31}",True
{'en': 'Yantian Ferry Port'},SZX,CN,Asia/Shanghai,ZYX,harbour,Yantian Ferry Port,"{'lat': 22.543099, 'lon': 114.057868}",False
{'en': 'Waca'},WAC,ET,Africa/Addis_Ababa,WAC,airport,Waca,"{'lat': 7.166667, 'lon': 37.166668}",False
{'en': 'Norden'},NOD,DE,Europe/Berlin,NOD,airport,Norden,"{'lat': 53.583332, 'lon': 7.2}",False
{'en': 'Bauru'},BRI,IT,Europe/Rome,BAU,railway,Bauru,"{'lat': -22.343056, 'lon': -49.0525}",True
{'en': 'Tottori Airport'},TTJ,JP,Asia/Tokyo,TTJ,airport,Tottori Airport,"{'lat': 35.525913, 'lon': 134.16756}",True
{'en': 'Mama'},МАМ,RU,Asia/Irkutsk,МАМ,airport,Mama,"{'lat': 58.29999923706055, 'lon': 112.88333129882812}",True
{'en': 'Siauliai International Airport'},SQQ,LT,Europe/Vilnius,SQQ,airport,Siauliai International Airport,"{'lat': 55.933334, 'lon': 23.316668}",False
{'en': 'Rurutu'},RUR,PF,Pacific/Tahiti,RUR,airport,Rurutu,"{'lat': -22.433332, 'lon': -151.33333}",True
{'en': 'Birmingham International Airport'},BHX,GB,Europe/London,BHX,airport,Birmingham International Airport,"{'lat': 52.45252, 'lon': -1.733256}",True
{'en': 'Roros Airport'},RRS,NO,Europe/Oslo,RRS,airport,Roros Airport,"{'lat': 62.579166, 'lon': 11.345556}",True
{'en': 'East Fork'},EFO,US,America/Nome,EFO,airport,East Fork,"{'lat': 35.8451, 'lon': -83.4174}",False
{'en': 'Finley'},FLY,AU,Australia/Sydney,FLY,airport,Finley,"{'lat': -35.65, 'lon': 145.58333}",False
{'en': 'Urumqi Diwopu International Airport'},URC,CN,Asia/Shanghai,URC,airport,Urumqi Diwopu International Airport,"{'lat': 43.90126, 'lon': 87.47515}",True
{'en': 'Courtenay'},YCA,CA,America/Vancouver,YCA,airport,Courtenay,"{'lat': 49.683334, 'lon': -124.98333}",False
{'en': 'Cyril E. King Airport'},STT,VI,America/St_Thomas,STT,airport,Cyril E. King Airport,"{'lat': 18.3375, 'lon': -64.969444}",True
{'en': 'Kilwa Masoko Airport'},KIY,TZ,Africa/Dar_es_Salaam,KIY,airport,Kilwa Masoko Airport,"{'lat': -8.911944, 'lon': 39.511665}",True
{'en': 'Tuy Hoa Airport'},TBB,VN,Asia/Ho_Chi_Minh,TBB,airport,Tuy Hoa Airport,"{'lat': 13.044167, 'lon': 109.33972}",True
{'en': 'Desroches'},DES,SC,Indian/Mahe,DES,airport,Desroches,"{'lat': -5.683333, 'lon': 53.683334}",False
{'en': 'Orange Airport'},OAG,AU,Australia/Sydney,OAG,airport,Orange Airport,"{'lat': -33.3816, 'lon': 149.12447}",True
{'en': 'Collinsville'},KCE,AU,Australia/Brisbane,KCE,airport,Collinsville,"{'lat': -20.55, 'lon': 147.86667}",False
{'en': 'Nyurba Airport'},NYR,RU,Asia/Yakutsk,NYR,airport,Nyurba Airport,"{'lat': 63.297222, 'lon': 118.346944}",True
{'en': 'Lac Biche'},YLB,CA,America/Edmonton,YLB,airport,Lac Biche,"{'lat': 54.766666, 'lon': -112.01667}",False
{'en': 'Entebbe International Airport'},EBB,UG,Africa/Kampala,EBB,airport,Entebbe International Airport,"{'lat': 0.045111, 'lon': 32.443184}",True
{'en': 'Taormina Harbour'},TFC,IT,Europe/Rome,TFC,harbour,Taormina Harbour,"{'lat': 37.84209356735619, 'lon': 15.280949107666475}",False
{'en': 'Haneda Airport'},TYO,JP,Asia/Tokyo,HND,airport,Haneda Airport,"{'lat': 35.54907, 'lon': 139.78453}",True
{'en': 'Aomori Airport'},AOJ,JP,Asia/Tokyo,AOJ,airport,Aomori Airport,"{'lat': 40.738758, 'lon': 140.68922}",True
{'en': 'Ranau'},RNU,MY,Asia/Kuching,RNU,airport,Ranau,"{'lat': 5.95, 'lon': 116.666664}",False
{'en': 'Kolda'},KDA,SN,Africa/Dakar,KDA,airport,Kolda,"{'lat': 12.883333, 'lon': -14.966667}",False
{'en': 'University Park Airport'},SCE,US,America/New_York,SCE,airport,University Park Airport,"{'lat': 40.85372, 'lon': -77.84823}",True
{'en': 'Paramakotoi'},PMT,GY,America/Guyana,PMT,airport,Paramakotoi,"{'lat': 7.566667, 'lon': -57.183334}",False
{'en': 'Luang Namtha Airport'},LXG,LA,Asia/Vientiane,LXG,airport,Luang Namtha Airport,"{'lat': 21.05, 'lon': 101.46667}",True
{'en': 'Tufi'},TFI,PG,Pacific/Port_Moresby,TFI,airport,Tufi,"{'lat': -9.05, 'lon': 149.33333}",False
{'en': 'Niau'},NIU,PF,Pacific/Tahiti,NIU,airport,Niau,"{'lat': -16.121988, 'lon': -146.37325}",False
{'en': 'Mao'},AMO,TD,Africa/Ndjamena,AMO,airport,Mao,"{'lat': 14.116667, 'lon': 15.316667}",False
{'en': 'Buin'},UBI,PG,Pacific/Port_Moresby,UBI,airport,Buin,"{'lat': -6.716667, 'lon': 155.7}",False
{'en': 'Canal Bajo Airport'},ZOS,CL,America/Santiago,ZOS,airport,Canal Bajo Airport,"{'lat': -40.607777, 'lon': -73.05556}",True
{'en': 'Mala Mala'},AAM,ZA,Africa/Johannesburg,AAM,airport,Mala Mala,"{'lat': -24.8, 'lon': 31.533333}",True
{'en': 'King Hussein International Airport'},AQJ,JO,Asia/Amman,AQJ,airport,King Hussein International Airport,"{'lat': 29.610073, 'lon': 35.02151}",True
{'en': 'Hay'},HXX,AU,Australia/Sydney,HXX,airport,Hay,"{'lat': -34.516666, 'lon': 144.83333}",False
{'en': 'Bomar Field'},SYI,US,America/Chicago,SYI,airport,Bomar Field,"{'lat': 35.560833, 'lon': -86.4425}",False
{'en': 'Tours Railway Station'},TUF,FR,Europe/Paris,XJT,railway,Tours Railway Station,"{'lat': 47.394144, 'lon': 0.68484}",True
{'en': 'Rakanda'},RAA,PG,Pacific/Port_Moresby,RAA,airport,Rakanda,"{'lat': -4.5, 'lon': 152.16667}",False
{'en': 'Jaime Gonzalez Airport'},CFG,CU,America/Havana,CFG,airport,Jaime Gonzalez Airport,"{'lat': 22.15, 'lon': -80.41417}",True
{'en': 'Long Seridan Airport'},ODN,MY,Asia/Kuching,ODN,airport,Long Seridan Airport,"{'lat': 4.033333, 'lon': 115.066666}",True
{'en': 'Sentral Railway Station'},KUL,MY,Asia/Kuala_Lumpur,XKL,railway,Sentral Railway Station,"{'lat': 3.139003, 'lon': 101.686855}",True
{'en': 'Dibrugarh Airport'},DIB,IN,Asia/Kolkata,DIB,airport,Dibrugarh Airport,"{'lat': 27.482908, 'lon': 95.021065}",True
{'en': 'Kremenchug'},KHU,UA,Europe/Kiev,KHU,airport,Kremenchug,"{'lat': 49.1, 'lon': 33.45}",False
{'en': 'Holland Spoor Rail Station'},HAG,NL,Europe/Amsterdam,ZXY,railway,Holland Spoor Rail Station,"{'lat': 52.069722, 'lon': 4.321667}",False
{'en': 'Schenectady County'},SCH,US,America/New_York,SCH,airport,Schenectady County,"{'lat': 42.85, 'lon': -73.933334}",False
{'en': 'Ann Arbor Municipal'},ARB,US,America/Detroit,ARB,airport,Ann Arbor Municipal,"{'lat': 42.3, 'lon': -83.75}",False
{'en': 'Ixtepec'},IZT,MX,America/Mexico_City,IZT,airport,Ixtepec,"{'lat': 16.569166, 'lon': -95.10833}",False
{'en': 'Antwerp Central Railway Station'},ANR,BE,Europe/Brussels,ZWE,railway,Antwerp Central Railway Station,"{'lat': 49.21516, 'lon': 7.399708}",True
{'en': 'Rotuma Island'},RTA,FJ,Pacific/Fiji,RTA,airport,Rotuma Island,"{'lat': -12.4825, 'lon': 177.0711}",False
